OBJECTID,Oceans,Regions,SubRegions,Sampling Method,Measurement,Unit,Density Range,Density Class,Short Reference,Long Reference,DOI,Organization,Keywords,Accession Number,Accession Link,Latitude,Longitude,Date,GlobalID,x,y
21766,Atlantic Ocean,Caribbean Sea,,Hand picking,0.888889,pieces/m3,0-100,Very Low,Seemungal et al. 2022,"Seemungal, R., J. Darsan, M. Wilson. 2022. The influence of coastal geomorphology and human activity on plastic debris distribution on a micro-tidal recreational beach on the north coast of Trinidad. Journal of Coastal Conservation 26, 19. https://doi.org/10.1007/s11852-021-00846-z",https://doi.org/10.1007/s11852-021-00846-z,"University of the West Indies, St. Augustine Campus, Trinidad and Tobago",,280519,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:280519,10.760339,-61.441728,2/22/2016 12:00:00 AM,1ed04c50-6fa0-4d42-b121-cadf95efb37a,-61.441728,10.760339
15328,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,0,pieces/m3,0-100,Very Low,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,21.526733,-87.37755,5/18/2018 12:00:00 AM,2f53f657-2ef9-46b2-a807-a9ef529da90a,-87.37755,21.526733
14982,Atlantic Ocean,,,Stainless steel spoon,13360,pieces/m3,500-30000,Medium,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,6/26/2019 12:00:00 AM,f9b33654-21a5-4677-8cd9-17a3f9228190,-16.43179,28.152519
15019,Atlantic Ocean,,,Stainless steel spoon,44880,pieces/m3,>40000,Very High,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,7/16/2019 12:00:00 AM,e2bd22b9-2aba-4c46-8876-8799788c7969,-16.43179,28.152519
15314,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,2820.874471,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,21.29148,-89.634561,5/5/2018 12:00:00 AM,6320f67b-8e73-4e9f-8e90-c6a8a4fc49ee,-89.634561,21.29148
14973,Atlantic Ocean,,,Stainless steel spoon,6560,pieces/m3,500-30000,Medium,González-Hernández et al. 2020,"González-Hernández, M., C. Hernández-Sánchez, J. González-Sálamo, J. López-Darias, J. Hernández-Borges. Monitoring of meso and microplastic debris in Playa Grande beach (Tenerife, Canary Islands, Spain) during a moon cycle. Marine Pollution bulletin, 150, 110757. https://doi.org/10.1016/j.marpolbul.2019.110757",https://doi.org/10.1016/j.marpolbul.2019.110757,"Universidad de La Laguna, Spain",Tenerife; Canary Islands,277839,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0277839,28.152519,-16.43179,6/17/2019 12:00:00 AM,01f2a252-8925-466a-bcfb-fe7205e0ebbb,-16.43179,28.152519
15520,Pacific Ocean,Gulf of California,,PVC cylinder,1410.437236,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,24.14189,-110.349147,7/13/2018 12:00:00 AM,b269cc61-cccb-4649-adda-8d534dd294ef,-110.349147,24.14189
15514,Pacific Ocean,Gulf of California,,PVC cylinder,0,pieces/m3,0-100,Very Low,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,26.729392,-111.906818,7/11/2018 12:00:00 AM,762ad850-a792-4c02-b9eb-6da3f4069f7f,-111.906818,26.7293920000001
15322,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,4231.311707,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,21.526733,-87.37755,5/18/2018 12:00:00 AM,bfb1b949-3109-484b-874a-89639cb52382,-87.37755,21.526733
15420,Pacific Ocean,,,PVC cylinder,1410.437236,pieces/m3,500-30000,Medium,Alvarez-Zeferino et al. 2020,"Alvarez-Zeferino, J.C., S. Ojeda-Benítez, A. A. Cruz-Salas, C. Martínez-Salvador, A. Vázquez-Morillas. 2020. Microplastics in Mexican beaches. Resources, Conservation and Recycling 155, 104633. https://doi.org/10.1016/j.resconrec.2019.104633",https://doi.org/10.1016/j.resconrec.2019.104633,"Universidad Autónoma de Baja California, Mexico",Mexico,278270,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:0278270,21.525186,-105.278947,6/13/2018 12:00:00 AM,4842126c-061e-427d-b1ea-48623babe072,-105.278947,21.5251860000001
